Анализ характеристик крылатого объекта
Время расчета: 2025-10-26 22:54:32

Параметры расчета:
Масса_кг,2400
Размах_крыла_м,3.0
Хорда_м,0.6
Площадь_крыла_м2,1.7999999999999998
Удлинение_крыла,5.0
Тяга_на_уровне_моря_кгс,450
Удельный_расход_топлива_кг_кгс_ч,0.71
Угол_стреловидности_град,8
Угол_атаки_град,10
Коэффициент_Освальда,0.85
Диапазон_высот_м,100 - 990
Диапазон_скоростей_мс,190.0 - 220.0
Диапазон_CD0,0.100 - 0.340
Оптимальная_высота_для_графиков_м,990

Результаты расчетов:
Высота_м,Скорость_мс,Число_Маха,Коэф_подъемной_силы_CL,Коэф_сопротивления_CD,CD0,Подъемная_сила_Н,Сопротивление_Н,Требуемая_тяга_Н,Требуемая_тяга_кгс,Доступная_тяга_кгс,Доступная_тяга_Н,Расход_топлива_кгч,Требуемая_тяговооруженность,Доступная_тяговооруженность,Число_Рейнольдса,Плотность_воздуха_кгм3,Скорость_звука_мс,Температура_K,Давление_Па,Вес_Н,Удлинение_крыла,Площадь_крыла_м2,Возможность_полета
490,215.71428571428572,0.6374326443972337,0.8404968571662373,0.23290946680287092,0.18,41126.48954634993,11396.531313643778,11396.531313643778,1162.1227752233208,352.08867180335795,3452.8103733404,249.98295698038413,0.484292309230871,0.14672618036326798,8524891.382224875,1.1683829828293093,338.4111052521769,284.965,95575.46067234955,23532.34006904463,5.0,1.7999999999999998,False
490,215.71428571428572,0.6374326443972337,0.8404968571662373,0.3129094668028709,0.26,41126.48954634993,15311.024432393488,15311.024432393488,1561.2899851012821,352.08867180335795,3452.8103733404,249.98295698038413,0.6506375646225772,0.14672618036326798,8524891.382224875,1.1683829828293093,338.4111052521769,284.965,95575.46067234955,23532.34006904463,5.0,1.7999999999999998,False
490,215.71428571428572,0.6374326443972337,0.8404968571662373,0.39290946680287087,0.33999999999999997,41126.48954634993,19225.517551143195,19225.517551143195,1960.4571949792432,352.08867180335795,3452.8103733404,249.98295698038413,0.8169828200142834,0.14672618036326798,8524891.382224875,1.1683829828293093,338.4111052521769,284.965,95575.46067234955,23532.34006904463,5.0,1.7999999999999998,False
490,217.85714285714286,0.6437647567587956,0.845898534722058,0.15359172578220393,0.1,42217.218129073204,7665.476560139281,7665.476560139281,781.6610728576304,351.2616884355204,3444.7004368961957,249.39579878921947,0.32574221423150146,0.14638155095453048,8609575.73370393,1.1683829828293093,338.4111052521769,284.965,95575.46067234955,23532.34006904463,5.0,1.7999999999999998,False
490,217.85714285714286,0.6437647567587956,0.845898534722058,0.2335917257822039,0.18,42217.218129073204,11658.12734707507,11658.12734707507,1188.7981468773812,351.2616884355204,3444.7004368961957,249.39579878921947,0.4954087571771339,0.14638155095453048,8609575.73370393,1.1683829828293093,338.4111052521769,284.965,95575.46067234955,23532.34006904463,5.0,1.7999999999999998,False
490,217.85714285714286,0.6437647567587956,0.845898534722058,0.31359172578220396,0.26,42217.218129073204,15650.778134010861,15650.778134010861,1595.9352208971322,351.2616884355204,3444.7004368961957,249.39579878921947,0.6650753001227665,0.14638155095453048,8609575.73370393,1.1683829828293093,338.4111052521769,284.965,95575.46067234955,23532.34006904463,5.0,1.7999999999999998,False
490,217.85714285714286,0.6437647567587956,0.845898534722058,0.3935917257822039,0.33999999999999997,42217.218129073204,19643.428920946648,19643.428920946648,2003.0722949168828,351.2616884355204,3444.7004368961957,249.39579878921947,0.8347418430683989,0.14638155095453048,8609575.73370393,1.1683829828293093,338.4111052521769,284.965,95575.46067234955,23532.34006904463,5.0,1.7999999999999998,False
490,220.0,0.6500968691203576,0.8514795262072548,0.15430122372684987,0.1,43335.848457512075,7853.124170842171,7853.124170842171,800.7958039536612,350.43470506768284,3436.590500451992,248.8086405980548,0.3337162452948095,0.146036921545793,8694260.085182985,1.1683829828293093,338.4111052521769,284.965,95575.46067234955,23532.34006904463,5.0,1.7999999999999998,False
490,220.0,0.6500968691203576,0.8514795262072548,0.23430122372684986,0.18,43335.848457512075,11924.705189405748,11924.705189405748,1215.981521661908,350.43470506768284,3436.590500451992,248.8086405980548,0.5067369056548684,0.146036921545793,8694260.085182985,1.1683829828293093,338.4111052521769,284.965,95575.46067234955,23532.34006904463,5.0,1.7999999999999998,False
490,220.0,0.6500968691203576,0.8514795262072548,0.3143012237268499,0.26,43335.848457512075,15996.286207969324,15996.286207969324,1631.1672393701544,350.43470506768284,3436.590500451992,248.8086405980548,0.6797575660149273,0.146036921545793,8694260.085182985,1.1683829828293093,338.4111052521769,284.965,95575.46067234955,23532.34006904463,5.0,1.7999999999999998,False
490,220.0,0.6500968691203576,0.8514795262072548,0.39430122372684984,0.33999999999999997,43335.848457512075,20067.8672265329,20067.8672265329,2046.352957078401,350.43470506768284,3436.590500451992,248.8086405980548,0.8527782263749862,0.146036921545793,8694260.085182985,1.1683829828293093,338.4111052521769,284.965,95575.46067234955,23532.34006904463,5.0,1.7999999999999998,False
500,190.0,0.5615113395701584,0.7874238296015612,0.14643851295997112,0.1,29862.203732490692,5553.523457000756,5553.523457000756,566.3017908256903,361.75817599707904,3547.635816641755,256.8483049579261,0.23599611739151072,0.1507562334307075,7502726.541774639,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,190.0,0.5615113395701584,0.7874238296015612,0.2264385129599711,0.18,29862.203732490692,8587.437606904099,8587.437606904099,875.6749355696492,361.75817599707904,3547.635816641755,256.8483049579261,0.36492182832441,0.1507562334307075,7502726.541774639,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,190.0,0.5615113395701584,0.7874238296015612,0.30643851295997115,0.26,29862.203732490692,11621.351756807444,11621.351756807444,1185.0480803136081,361.75817599707904,3547.635816641755,256.8483049579261,0.4938475392573093,0.1507562334307075,7502726.541774639,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,190.0,0.5615113395701584,0.7874238296015612,0.3864385129599711,0.33999999999999997,29862.203732490692,14655.265906710785,14655.265906710785,1494.4212250575667,361.75817599707904,3547.635816641755,256.8483049579261,0.6227732501902085,0.1507562334307075,7502726.541774639,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,192.14285714285714,0.5678441742269648,0.7911462855929332,0.1468786162811802,0.1,30683.958073161757,5696.566344159808,5696.566344159808,580.8881059444161,360.9316601820331,3539.5304653241346,256.2614787292435,0.24207470268090095,0.15041179778442582,7587343.758411194,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,192.14285714285714,0.5678441742269648,0.7911462855929332,0.2268786162811802,0.18,30683.958073161757,8799.300554702459,8799.300554702459,897.2789438495774,360.9316601820331,3539.5304653241346,256.2614787292435,0.3739249114097087,0.15041179778442582,7587343.758411194,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,192.14285714285714,0.5678441742269648,0.7911462855929332,0.3068786162811802,0.26,30683.958073161757,11902.03476524511,11902.03476524511,1213.6697817547388,360.9316601820331,3539.5304653241346,256.2614787292435,0.5057751201385164,0.15041179778442582,7587343.758411194,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,192.14285714285714,0.5678441742269648,0.7911462855929332,0.38687861628118014,0.33999999999999997,30683.958073161757,15004.76897578776,15004.76897578776,1530.0606196599003,360.9316601820331,3539.5304653241346,256.2614787292435,0.6376253288673243,0.15041179778442582,7587343.758411194,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,194.28571428571428,0.574177008883771,0.7949826699923714,0.14733436117026502,0.1,31524.30326371159,5842.407964366339,5842.407964366339,595.759812409573,360.1051443669872,3531.425114006515,255.67465250056088,0.24827221969677693,0.15006736213814414,7671960.975047751,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,194.28571428571428,0.574177008883771,0.7949826699923714,0.227334361170265,0.18,31524.30326371159,9014.734049312476,9014.734049312476,919.2470465768102,360.1051443669872,3531.425114006515,255.67465250056088,0.3830797243276155,0.15006736213814414,7671960.975047751,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,194.28571428571428,0.574177008883771,0.7949826699923714,0.307334361170265,0.26,31524.30326371159,12187.060134258614,12187.060134258614,1242.7342807440477,360.1051443669872,3531.425114006515,255.67465250056088,0.5178872289584542,0.15006736213814414,7671960.975047751,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,194.28571428571428,0.574177008883771,0.7949826699923714,0.387334361170265,0.33999999999999997,31524.30326371159,15359.38621920475,15359.38621920475,1566.2215149112849,360.1051443669872,3531.425114006515,255.67465250056088,0.6526947335892928,0.15006736213814414,7671960.975047751,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,196.42857142857142,0.5805098435405773,0.7989368894025113,0.14780641156035723,0.1,32383.806007860974,5991.129239592755,5991.129239592755,610.9251619658859,359.2786285519413,3523.319762688895,255.08782627187833,0.2545921072057969,0.14972292649186247,7756578.191684307,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,196.42857142857142,0.5805098435405773,0.7989368894025113,0.2278064115603572,0.18,32383.806007860974,9233.819012706557,9233.819012706557,941.5874954960724,359.2786285519413,3523.319762688895,255.08782627187833,0.39238970584478866,0.14972292649186247,7756578.191684307,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,196.42857142857142,0.5805098435405773,0.7989368894025113,0.3078064115603572,0.26,32383.806007860974,12476.508785820362,12476.508785820362,1272.249829026259,359.2786285519413,3523.319762688895,255.08782627187833,0.5301873044837805,0.14972292649186247,7756578.191684307,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,196.42857142857142,0.5805098435405773,0.7989368894025113,0.38780641156035717,0.33999999999999997,32383.806007860974,15719.198558934166,15719.198558934166,1602.9121625564455,359.2786285519413,3523.319762688895,255.08782627187833,0.6679849031227724,0.14972292649186247,7756578.191684307,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,198.57142857142858,0.5868426781973837,0.8030130708442779,0.14829547325752165,0.1,33263.06262944739,6142.816093195394,6142.816093195394,626.3929163573081,358.4521127368954,3515.214411371275,254.50100004319572,0.261038016507653,0.1493784908455808,7841195.408320864,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,198.57142857142858,0.5868426781973837,0.8030130708442779,0.22829547325752164,0.18,33263.06262944739,9456.641368241044,9456.641368241044,964.3090523513172,358.4521127368954,3515.214411371275,254.50100004319572,0.4018585072609204,0.1493784908455808,7841195.408320864,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,198.57142857142858,0.5868426781973837,0.8030130708442779,0.30829547325752166,0.26,33263.06262944739,12770.466643286694,12770.466643286694,1302.2251883453264,358.4521127368954,3515.214411371275,254.50100004319572,0.5426789980141878,0.1493784908455808,7841195.408320864,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,198.57142857142858,0.5868426781973837,0.8030130708442779,0.3882954732575216,0.33999999999999997,33263.06262944739,16084.291918332343,16084.291918332343,1640.1413243393354,358.4521127368954,3515.214411371275,254.50100004319572,0.6834994887674551,0.1493784908455808,7841195.408320864,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,200.71428571428572,0.59317551285419,0.8072155768195959,0.14880229715674234,0.1,34162.701077405574,6297.559838260122,6297.559838260122,642.1723869272506,357.6255969218495,3507.109060053655,253.9141738145131,0.26761382793775723,0.14903405519929913,7925812.624957419,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,200.71428571428572,0.59317551285419,0.8072155768195959,0.22880229715674233,0.18,34162.701077405574,9683.292429001796,9683.292429001796,987.4210284859556,357.6255969218495,3507.109060053655,253.9141738145131,0.4114900089114225,0.14903405519929913,7925812.624957419,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,200.71428571428572,0.59317551285419,0.8072155768195959,0.30880229715674234,0.26,34162.701077405574,13069.025019743473,13069.025019743473,1332.6696700446607,357.6255969218495,3507.109060053655,253.9141738145131,0.5553661898850878,0.14903405519929913,7925812.624957419,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,200.71428571428572,0.59317551285419,0.8072155768195959,0.3888022971567423,0.33999999999999997,34162.701077405574,16454.757610485143,16454.757610485143,1677.9183116033655,357.6255969218495,3507.109060053655,253.9141738145131,0.699242370858753,0.14903405519929913,7925812.624957419,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,202.85714285714286,0.5995083475109962,0.8115490217001717,0.14932768276512698,0.1,35083.38310207803,6455.457602818789,6455.457602818789,658.2734779785951,356.79908110680356,3499.0037087360347,253.32734758583052,0.2743236689367487,0.14868961955301743,8010429.841593976,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,202.85714285714286,0.5995083475109962,0.8115490217001717,0.229327682765127,0.18,35083.38310207803,9913.869323020668,9913.869323020668,1010.9333282028693,356.79908110680356,3499.0037087360347,253.32734758583052,0.4212883382369342,0.14868961955301743,8010429.841593976,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,202.85714285714286,0.5995083475109962,0.8115490217001717,0.309327682765127,0.26,35083.38310207803,13372.281043222547,13372.281043222547,1363.5931784271436,356.79908110680356,3499.0037087360347,253.32734758583052,0.5682530075371197,0.14868961955301743,8010429.841593976,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,202.85714285714286,0.5995083475109962,0.8115490217001717,0.38932768276512697,0.33999999999999997,35083.38310207803,16830.692763424424,16830.692763424424,1716.2530286514177,356.79908110680356,3499.0037087360347,253.32734758583052,0.7152176768373052,0.14868961955301743,8010429.841593976,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,205.0,0.6058411821678026,0.8160182895794247,0.14987248206675527,0.1,36025.806620481606,6616.612796082434,6616.612796082434,674.7067343162481,355.9725652917577,3490.8983574184153,252.74052135714794,0.28117193386300116,0.1483451839067358,8095047.058230531,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,205.0,0.6058411821678026,0.8160182895794247,0.22987248206675526,0.18,36025.806620481606,10148.475459508694,10148.475459508694,1034.8564963069646,355.9725652917577,3490.8983574184153,252.74052135714794,0.43125788959582917,0.1483451839067358,8095047.058230531,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,205.0,0.6058411821678026,0.8160182895794247,0.3098724820667553,0.26,36025.806620481606,13680.338122934956,13680.338122934956,1395.0062582976814,355.9725652917577,3490.8983574184153,252.74052135714794,0.5813438453286572,0.1483451839067358,8095047.058230531,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,205.0,0.6058411821678026,0.8160182895794247,0.38987248206675523,0.33999999999999997,36025.806620481606,17212.200786361216,17212.200786361216,1755.156020288398,355.9725652917577,3490.8983574184153,252.74052135714794,0.7314298010614853,0.1483451839067358,8095047.058230531,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,207.14285714285714,0.6121740168246088,0.8206285537414608,0.15043760376810184,0.1,36990.70829028979,6781.1356203786745,6781.1356203786745,691.4833934502276,355.14604947671177,3482.793006100795,252.15369512846533,0.2881633057473233,0.14800074826045412,8179664.2748670885,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,207.14285714285714,0.6121740168246088,0.8206285537414608,0.23043760376810182,0.18,36990.70829028979,10387.221040793496,10387.221040793496,1059.20177030826,355.14604947671177,3482.793006100795,252.15369512846533,0.4414033460189162,0.14800074826045412,8179664.2748670885,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,207.14285714285714,0.6121740168246088,0.8206285537414608,0.3104376037681018,0.26,36990.70829028979,13993.306461208318,13993.306461208318,1426.920147166292,355.14604947671177,3482.793006100795,252.15369512846533,0.5946433862905091,0.14800074826045412,8179664.2748670885,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,207.14285714285714,0.6121740168246088,0.8206285537414608,0.39043760376810177,0.33999999999999997,36990.70829028979,17599.391881623138,17599.391881623138,1794.6385240243242,355.14604947671177,3482.793006100795,252.15369512846533,0.7478834265621018,0.14800074826045412,8179664.2748670885,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,209.28571428571428,0.6185068514814152,0.825385297920167,0.15102401796814438,0.1,37978.86631472256,6949.143634103335,6949.143634103335,708.6154430007531,354.31953366166584,3474.6876547831753,251.56686889978275,0.2953027802155004,0.14765631261417245,8264281.491503644,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,209.28571428571428,0.6185068514814152,0.825385297920167,0.23102401796814437,0.18,37978.86631472256,10630.223625270897,10630.223625270897,1083.9811378269744,354.31953366166584,3474.6876547831753,251.56686889978275,0.45172970313198046,0.14765631261417245,8264281.491503644,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,209.28571428571428,0.6185068514814152,0.825385297920167,0.3110240179681444,0.26,37978.86631472256,14311.303616438461,14311.303616438461,1459.3468326531956,354.31953366166584,3474.6876547831753,251.56686889978275,0.6081566260484607,0.14765631261417245,8264281.491503644,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,209.28571428571428,0.6185068514814152,0.825385297920167,0.39102401796814434,0.33999999999999997,37978.86631472256,17992.38360760602,17992.38360760602,1834.7125274794168,354.31953366166584,3474.6876547831753,251.56686889978275,0.7645835489649406,0.14765631261417245,8264281.491503644,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,211.42857142857142,0.6248396861382214,0.8302943395434095,0.15163276130323,0.1,38991.10350331249,7120.762371713375,7120.762371713375,726.1156839199293,353.49301784662,3466.5823034655555,250.98004267110016,0.30259569183479784,0.14731187696789078,8348898.708140199,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,211.42857142857142,0.6248396861382214,0.8302943395434095,0.23163276130323,0.18,38991.10350331249,10877.608747397857,10877.608747397857,1109.207399815213,353.49301784662,3466.5823034655555,250.98004267110016,0.46224229550228746,0.14731187696789078,8348898.708140199,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,211.42857142857142,0.6248396861382214,0.8302943395434095,0.31163276130323003,0.26,38991.10350331249,14634.455123082344,14634.455123082344,1492.2991157104968,353.49301784662,3466.5823034655555,250.98004267110016,0.6218888991697773,0.14731187696789078,8348898.708140199,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,211.42857142857142,0.6248396861382214,0.8302943395434095,0.39163276130323,0.33999999999999997,38991.10350331249,18391.301498766825,18391.301498766825,1875.3908316057802,353.49301784662,3466.5823034655555,250.98004267110016,0.7815355028372669,0.14731187696789078,8348898.708140199,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,213.57142857142856,0.6311725207950277,0.8353618551824359,0.15226494262366122,0.1,40028.29061669526,7296.126027616218,7296.126027616218,743.9978002290505,352.66650203157405,3458.4769521479357,250.39321644241755,0.310047743175732,0.14696744132160913,8433515.924776757,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,213.57142857142856,0.6311725207950277,0.8353618551824359,0.2322649426236612,0.18,40028.29061669526,11129.5106015818,11129.5106015818,1134.8942402942698,352.66650203157405,3458.4769521479357,250.39321644241755,0.47294682570035357,0.14696744132160913,8433515.924776757,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,213.57142857142856,0.6311725207950277,0.8353618551824359,0.3122649426236612,0.26,40028.29061669526,14962.895175547383,14962.895175547383,1525.790680359489,352.66650203157405,3458.4769521479357,250.39321644241755,0.6358459082249752,0.14696744132160913,8433515.924776757,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,213.57142857142856,0.6311725207950277,0.8353618551824359,0.3922649426236612,0.33999999999999997,40028.29061669526,18796.279749512963,18796.279749512963,1916.6871204247082,352.66650203157405,3458.4769521479357,250.39321644241755,0.7987449907495967,0.14696744132160913,8433515.924776757,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,215.71428571428572,0.6375053554518341,0.8405944084553765,0.1529217492669288,0.1,41091.35002721805,7475.378211768613,7475.378211768613,762.2764360682409,351.8399862165282,3450.371600830316,249.806390213735,0.31766503692112646,0.14662300567532746,8518133.141413312,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,215.71428571428572,0.6375053554518341,0.8405944084553765,0.2329217492669288,0.18,41091.35002721805,11386.072797779474,11386.072797779474,1161.056303404269,351.8399862165282,3450.371600830316,249.806390213735,0.4838493964090023,0.14662300567532746,8518133.141413312,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,215.71428571428572,0.6375053554518341,0.8405944084553765,0.31292174926692884,0.26,41091.35002721805,15296.767383790338,15296.767383790338,1559.8361707402976,351.8399862165282,3450.371600830316,249.806390213735,0.6500337558968783,0.14662300567532746,8518133.141413312,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,215.71428571428572,0.6375053554518341,0.8405944084553765,0.3929217492669288,0.33999999999999997,41091.35002721805,19207.4619698012,19207.4619698012,1958.6160380763258,351.8399862165282,3450.371600830316,249.806390213735,0.8162181153847541,0.14662300567532746,8518133.141413312,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,217.85714285714286,0.6438381901086403,0.8459989806668878,0.15360445400176173,0.1,42181.259731351456,7658.672785909581,7658.672785909581,780.9672809684838,351.01347040148227,3442.266249512696,249.2195639850524,0.3254541114017014,0.1462785700290458,8602750.35804987,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,217.85714285714286,0.6438381901086403,0.8459989806668878,0.23360445400176172,0.18,42181.259731351456,11647.4491977299,11647.4491977299,1187.7092786761943,351.01347040148227,3442.266249512696,249.2195639850524,0.49495654595895383,0.1462785700290458,8602750.35804987,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,217.85714285714286,0.6438381901086403,0.8459989806668878,0.31360445400176173,0.26,42181.259731351456,15636.22560955022,15636.22560955022,1594.4512763839048,351.01347040148227,3442.266249512696,249.2195639850524,0.6644589805162063,0.1462785700290458,8602750.35804987,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,217.85714285714286,0.6438381901086403,0.8459989806668878,0.3936044540017617,0.33999999999999997,42181.259731351456,19625.00202137054,19625.00202137054,2001.1932740916154,351.01347040148227,3442.266249512696,249.2195639850524,0.8339614150734588,0.1462785700290458,8602750.35804987,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,220.0,0.6501710247654466,0.8515830045042089,0.1543144227279124,0.1,43299.05775472094,7846.174790644588,7846.174790644588,800.0871643878988,350.18695458643634,3434.160898195076,248.63273775636978,0.33342197999237155,0.14593413438276412,8687367.574686425,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,220.0,0.6501710247654466,0.8515830045042089,0.23431442272791242,0.18,43299.05775472094,11913.804842038546,11913.804842038546,1214.8699955681652,350.18695458643634,3434.160898195076,248.63273775636978,0.506275287725123,0.14593413438276412,8687367.574686425,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,220.0,0.6501710247654466,0.8515830045042089,0.31431442272791243,0.26,43299.05775472094,15981.434893432503,15981.434893432503,1629.6528267484314,350.18695458643634,3434.160898195076,248.63273775636978,0.6791285954578744,0.14593413438276412,8687367.574686425,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
500,220.0,0.6501710247654466,0.8515830045042089,0.3943144227279124,0.33999999999999997,43299.05775472094,20049.064944826456,20049.064944826456,2044.435657928697,350.18695458643634,3434.160898195076,248.63273775636978,0.8519819031906256,0.14593413438276412,8687367.574686425,1.1672492112585964,338.3725075711678,284.9,95460.93704195043,23532.266201598653,5.0,1.7999999999999998,False
510,190.0,0.5615754050028902,0.7874949359907593,0.14644690037204855,0.1,29835.913554489904,5548.450993308619,5548.450993308619,565.784543479029,361.50399929812056,3545.143194716914,256.6678395016656,0.23578130394481142,0.15065078273728835,7496777.360030524,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,190.0,0.5615754050028902,0.7874949359907593,0.22644690037204854,0.18,29835.913554489904,8579.420432313622,8579.420432313622,874.8574112784307,361.50399929812056,3545.143194716914,256.6678395016656,0.3645822841476337,0.15065078273728835,7496777.360030524,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,190.0,0.5615754050028902,0.7874949359907593,0.3064469003720485,0.26,29835.913554489904,11610.389871318625,11610.389871318625,1183.9302790778324,361.50399929812056,3545.143194716914,256.6678395016656,0.493383264350456,0.15065078273728835,7496777.360030524,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,190.0,0.5615754050028902,0.7874949359907593,0.3864469003720485,0.33999999999999997,29835.913554489904,14641.359310323627,14641.359310323627,1493.003146877234,361.50399929812056,3545.143194716914,256.6678395016656,0.6221842445532783,0.15065078273728835,7496777.360030524,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,192.14285714285714,0.5679089622021708,0.7912191360045092,0.1468872500415565,0.1,30656.99898684698,5691.37179674971,5691.37179674971,580.3584095231001,360.6779508781193,3537.0424269789087,256.0813451234647,0.24185472036983166,0.15030654078894556,7581327.480632372,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
